PING 17.253.144.10 (17.253.144.10) 56(84) bytes of data.
64 bytes from 17.253.144.10: icmp_seq=1 ttl=59 time=2.27 ms
64 bytes from 17.253.144.10: icmp_seq=2 ttl=59 time=1.09 ms
64 bytes from 17.253.144.10: icmp_seq=3 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=4 ttl=59 time=1.09 ms
64 bytes from 17.253.144.10: icmp_seq=5 ttl=59 time=1.14 ms
64 bytes from 17.253.144.10: icmp_seq=6 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=7 ttl=59 time=1.08 ms
64 bytes from 17.253.144.10: icmp_seq=8 ttl=59 time=1.14 ms
64 bytes from 17.253.144.10: icmp_seq=9 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=10 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=11 ttl=59 time=1.18 ms
64 bytes from 17.253.144.10: icmp_seq=12 ttl=59 time=1.12 ms
64 bytes from 17.253.144.10: icmp_seq=13 ttl=59 time=1.08 ms
64 bytes from 17.253.144.10: icmp_seq=14 ttl=59 time=1.11 ms
64 bytes from 17.253.144.10: icmp_seq=15 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=16 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=17 ttl=59 time=1.08 ms
64 bytes from 17.253.144.10: icmp_seq=18 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=19 ttl=59 time=1.10 ms
64 bytes from 17.253.144.10: icmp_seq=20 ttl=59 time=1.11 ms
64 bytes from 17.253.144.10: icmp_seq=21 ttl=59 time=1.06 ms
64 bytes from 17.253.144.10: icmp_seq=22 ttl=59 time=1.11 ms
64 bytes from 17.253.144.10: icmp_seq=23 ttl=59 time=1.06 ms
64 bytes from 17.253.144.10: icmp_seq=24 ttl=59 time=1.05 ms
64 bytes from 17.253.144.10: icmp_seq=25 ttl=59 time=1.13 ms
64 bytes from 17.253.144.10: icmp_seq=26 ttl=59 time=1.07 ms
64 bytes from 17.253.144.10: icmp_seq=27 ttl=59 time=1.11 ms
64 bytes from 17.253.144.10: icmp_seq=28 ttl=59 time=1.07 ms
64 bytes from 17.253.144.10: icmp_seq=29 ttl=59 time=1.09 ms
64 bytes from 17.253.144.10: icmp_seq=30 ttl=59 time=1.15 ms
64 bytes from 17.253.144.10: icmp_seq=31 ttl=59 time=1.09 ms
64 bytes from 17.253.144.10: icmp_seq=32 ttl=59 time=1.07 ms
64 bytes from 17.253.144.10: icmp_seq=33 ttl=59 time=1.04 ms
64 bytes from 17.253.144.10: icmp_seq=34 ttl=59 time=1.08 ms
64 bytes from 17.253.144.10: icmp_seq=35 ttl=59 time=1.13 ms
64 bytes from 17.253.144.10: icmp_seq=36 ttl=59 time=1.09 ms
